events,time,date,date-time,reset,rtc_reset,device_id,stream,
197,4:46 PM,04-21-2026,04-21-2026 16:46:44,0,0,eGFP3,WHEEL,
198,4:46 PM,04-21-2026,04-21-2026 16:46:46,0,0,eGFP3,WHEEL,
199,4:46 PM,04-21-2026,04-21-2026 16:46:47,0,0,eGFP3,WHEEL,
200,4:46 PM,04-21-2026,04-21-2026 16:46:47,0,0,eGFP3,WHEEL,
201,4:46 PM,04-21-2026,04-21-2026 16:46:48,0,0,eGFP3,WHEEL,
202,4:46 PM,04-21-2026,04-21-2026 16:46:49,0,0,eGFP3,WHEEL,
203,4:46 PM,04-21-2026,04-21-2026 16:46:50,0,0,eGFP3,WHEEL,
204,4:46 PM,04-21-2026,04-21-2026 16:46:53,0,0,eGFP3,WHEEL,
205,4:46 PM,04-21-2026,04-21-2026 16:46:54,0,0,eGFP3,WHEEL,
206,4:46 PM,04-21-2026,04-21-2026 16:46:55,0,0,eGFP3,WHEEL,
207,4:46 PM,04-21-2026,04-21-2026 16:46:55,0,0,eGFP3,WHEEL,
208,4:46 PM,04-21-2026,04-21-2026 16:46:56,0,0,eGFP3,WHEEL,
209,4:46 PM,04-21-2026,04-21-2026 16:46:56,0,0,eGFP3,WHEEL,
210,4:46 PM,04-21-2026,04-21-2026 16:46:57,0,0,eGFP3,WHEEL,
211,4:46 PM,04-21-2026,04-21-2026 16:46:58,0,0,eGFP3,WHEEL,
212,4:46 PM,04-21-2026,04-21-2026 16:46:59,0,0,eGFP3,WHEEL,
213,4:46 PM,04-21-2026,04-21-2026 16:46:59,0,0,eGFP3,WHEEL,
214,4:47 PM,04-21-2026,04-21-2026 16:47:00,0,0,eGFP3,WHEEL,
215,4:47 PM,04-21-2026,04-21-2026 16:47:01,0,0,eGFP3,WHEEL,
216,4:47 PM,04-21-2026,04-21-2026 16:47:02,0,0,eGFP3,WHEEL,
217,4:47 PM,04-21-2026,04-21-2026 16:47:03,0,0,eGFP3,WHEEL,
218,4:47 PM,04-21-2026,04-21-2026 16:47:04,0,0,eGFP3,WHEEL,
219,4:47 PM,04-21-2026,04-21-2026 16:47:04,0,0,eGFP3,WHEEL,
220,4:47 PM,04-21-2026,04-21-2026 16:47:05,0,0,eGFP3,WHEEL,
221,4:47 PM,04-21-2026,04-21-2026 16:47:06,0,0,eGFP3,WHEEL,
222,4:47 PM,04-21-2026,04-21-2026 16:47:07,0,0,eGFP3,WHEEL,
223,4:47 PM,04-21-2026,04-21-2026 16:47:07,0,0,eGFP3,WHEEL,
224,4:47 PM,04-21-2026,04-21-2026 16:47:08,0,0,eGFP3,WHEEL,
225,4:47 PM,04-21-2026,04-21-2026 16:47:09,0,0,eGFP3,WHEEL,
226,4:47 PM,04-21-2026,04-21-2026 16:47:10,0,0,eGFP3,WHEEL,
227,4:47 PM,04-21-2026,04-21-2026 16:47:10,0,0,eGFP3,WHEEL,
228,4:47 PM,04-21-2026,04-21-2026 16:47:11,0,0,eGFP3,WHEEL,
229,4:47 PM,04-21-2026,04-21-2026 16:47:37,0,0,eGFP3,WHEEL,
230,4:47 PM,04-21-2026,04-21-2026 16:47:50,0,0,eGFP3,WHEEL,
231,4:47 PM,04-21-2026,04-21-2026 16:47:51,0,0,eGFP3,WHEEL,
232,4:47 PM,04-21-2026,04-21-2026 16:47:51,0,0,eGFP3,WHEEL,
233,4:47 PM,04-21-2026,04-21-2026 16:47:53,0,0,eGFP3,WHEEL,
234,4:47 PM,04-21-2026,04-21-2026 16:47:53,0,0,eGFP3,WHEEL,
235,4:47 PM,04-21-2026,04-21-2026 16:47:54,0,0,eGFP3,WHEEL,
236,4:47 PM,04-21-2026,04-21-2026 16:47:55,0,0,eGFP3,WHEEL,
237,4:47 PM,04-21-2026,04-21-2026 16:47:55,0,0,eGFP3,WHEEL,
238,4:47 PM,04-21-2026,04-21-2026 16:47:56,0,0,eGFP3,WHEEL,
239,4:47 PM,04-21-2026,04-21-2026 16:47:57,0,0,eGFP3,WHEEL,
240,4:47 PM,04-21-2026,04-21-2026 16:47:58,0,0,eGFP3,WHEEL,
241,4:47 PM,04-21-2026,04-21-2026 16:47:58,0,0,eGFP3,WHEEL,
242,4:47 PM,04-21-2026,04-21-2026 16:47:59,0,0,eGFP3,WHEEL,
243,4:48 PM,04-21-2026,04-21-2026 16:48:00,0,0,eGFP3,WHEEL,
244,4:48 PM,04-21-2026,04-21-2026 16:48:01,0,0,eGFP3,WHEEL,
245,4:48 PM,04-21-2026,04-21-2026 16:48:01,0,0,eGFP3,WHEEL,
246,4:48 PM,04-21-2026,04-21-2026 16:48:02,0,0,eGFP3,WHEEL,
247,4:48 PM,04-21-2026,04-21-2026 16:48:03,0,0,eGFP3,WHEEL,
248,4:48 PM,04-21-2026,04-21-2026 16:48:04,0,0,eGFP3,WHEEL,
249,4:48 PM,04-21-2026,04-21-2026 16:48:04,0,0,eGFP3,WHEEL,
250,4:48 PM,04-21-2026,04-21-2026 16:48:05,0,0,eGFP3,WHEEL,
251,4:48 PM,04-21-2026,04-21-2026 16:48:06,0,0,eGFP3,WHEEL,
252,4:48 PM,04-21-2026,04-21-2026 16:48:06,0,0,eGFP3,WHEEL,
253,4:48 PM,04-21-2026,04-21-2026 16:48:07,0,0,eGFP3,WHEEL,
254,4:48 PM,04-21-2026,04-21-2026 16:48:08,0,0,eGFP3,WHEEL,
255,4:48 PM,04-21-2026,04-21-2026 16:48:10,0,0,eGFP3,WHEEL,
256,4:48 PM,04-21-2026,04-21-2026 16:48:11,0,0,eGFP3,WHEEL,
257,4:48 PM,04-21-2026,04-21-2026 16:48:13,0,0,eGFP3,WHEEL,
258,4:48 PM,04-21-2026,04-21-2026 16:48:14,0,0,eGFP3,WHEEL,
259,4:48 PM,04-21-2026,04-21-2026 16:48:15,0,0,eGFP3,WHEEL,
260,4:48 PM,04-21-2026,04-21-2026 16:48:16,0,0,eGFP3,WHEEL,
261,4:48 PM,04-21-2026,04-21-2026 16:48:19,0,0,eGFP3,WHEEL,
262,4:48 PM,04-21-2026,04-21-2026 16:48:20,0,0,eGFP3,WHEEL,
263,4:48 PM,04-21-2026,04-21-2026 16:48:23,0,0,eGFP3,WHEEL,
264,4:48 PM,04-21-2026,04-21-2026 16:48:24,0,0,eGFP3,WHEEL,
265,4:48 PM,04-21-2026,04-21-2026 16:48:25,0,0,eGFP3,WHEEL,
266,4:48 PM,04-21-2026,04-21-2026 16:48:26,0,0,eGFP3,WHEEL,
267,4:48 PM,04-21-2026,04-21-2026 16:48:27,0,0,eGFP3,WHEEL,
268,4:48 PM,04-21-2026,04-21-2026 16:48:29,0,0,eGFP3,WHEEL,
269,4:48 PM,04-21-2026,04-21-2026 16:48:30,0,0,eGFP3,WHEEL,
270,4:48 PM,04-21-2026,04-21-2026 16:48:31,0,0,eGFP3,WHEEL,
271,4:48 PM,04-21-2026,04-21-2026 16:48:31,0,0,eGFP3,WHEEL,
